Plant ID,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Year
14,4.3,3,1.1,0.1,setosa,2017
9,4.4,2.9,1.4,0.2,setosa,2016
39,4.4,3,1.3,0.2,setosa,2019
43,4.4,3.2,1.3,0.2,setosa,2020
42,4.5,2.3,1.3,0.3,setosa,2020
4,4.6,3.1,1.5,0.2,setosa,2016
7,4.6,3.4,1.4,0.3,setosa,2016
23,4.6,3.6,1,0.2,setosa,2018
48,4.6,3.2,1.4,0.2,setosa,2020
3,4.7,3.2,1.3,0.2,setosa,2016
30,4.7,3.2,1.6,0.2,setosa,2018
12,4.8,3.4,1.6,0.2,setosa,2017
13,4.8,3,1.4,0.1,setosa,2017
25,4.8,3.4,1.9,0.2,setosa,2018
31,4.8,3.1,1.6,0.2,setosa,2019
46,4.8,3,1.4,0.3,setosa,2020
2,4.9,3,1.4,0.2,setosa,2016
10,4.9,3.1,1.5,0.1,setosa,2016
35,4.9,3.1,1.5,0.2,setosa,2019
38,4.9,3.6,1.4,0.1,setosa,2019
58,4.9,2.4,3.3,1,versicolor,2016
107,4.9,2.5,4.5,1.7,virginica,2016
5,5,3.6,1.4,0.2,setosa,2016
8,5,3.4,1.5,0.2,setosa,2016
26,5,3,1.6,0.2,setosa,2018
27,5,3.4,1.6,0.4,setosa,2018
36,5,3.2,1.2,0.2,setosa,2019
41,5,3.5,1.3,0.3,setosa,2020
44,5,3.5,1.6,0.6,setosa,2020
50,5,3.3,1.4,0.2,setosa,2020
61,5,2,3.5,1,versicolor,2017
94,5,2.3,3.3,1,versicolor,2020
1,5.1,3.5,1.4,0.2,setosa,2016
18,5.1,3.5,1.4,0.3,setosa,2017
20,5.1,3.8,1.5,0.3,setosa,2017
22,5.1,3.7,1.5,0.4,setosa,2018
24,5.1,3.3,1.7,0.5,setosa,2018
40,5.1,3.4,1.5,0.2,setosa,2019
45,5.1,3.8,1.9,0.4,setosa,2020
47,5.1,3.8,1.6,0.2,setosa,2020
99,5.1,2.5,3,1.1,versicolor,2020
28,5.2,3.5,1.5,0.2,setosa,2018
29,5.2,3.4,1.4,0.2,setosa,2018
33,5.2,4.1,1.5,0.1,setosa,2019
60,5.2,2.7,3.9,1.4,versicolor,2016
49,5.3,3.7,1.5,0.2,setosa,2020
6,5.4,3.9,1.7,0.4,setosa,2016
11,5.4,3.7,1.5,0.2,setosa,2017
17,5.4,3.9,1.3,0.4,setosa,2017
21,5.4,3.4,1.7,0.2,setosa,2018
32,5.4,3.4,1.5,0.4,setosa,2019
85,5.4,3,4.5,1.5,versicolor,2019
34,5.5,4.2,1.4,0.2,setosa,2019
37,5.5,3.5,1.3,0.2,setosa,2019
54,5.5,2.3,4,1.3,versicolor,2016
81,5.5,2.4,3.8,1.1,versicolor,2019
82,5.5,2.4,3.7,1,versicolor,2019
90,5.5,2.5,4,1.3,versicolor,2019
91,5.5,2.6,4.4,1.2,versicolor,2020
65,5.6,2.9,3.6,1.3,versicolor,2017
67,5.6,3,4.5,1.5,versicolor,2017
70,5.6,2.5,3.9,1.1,versicolor,2017
89,5.6,3,4.1,1.3,versicolor,2019
95,5.6,2.7,4.2,1.3,versicolor,2020
122,5.6,2.8,4.9,2,virginica,2018
16,5.7,4.4,1.5,0.4,setosa,2017
19,5.7,3.8,1.7,0.3,setosa,2017
56,5.7,2.8,4.5,1.3,versicolor,2016
80,5.7,2.6,3.5,1,versicolor,2018
96,5.7,3,4.2,1.2,versicolor,2020
97,5.7,2.9,4.2,1.3,versicolor,2020
